x,y,dir,ref,pt
-69.5,-12.9903810568,2,False,3
-69.5,-12.9903810568,8,True,11
-71,-13.8564064606,6,False,7
-69.5,-12.9903810568,4,False,7
-68,-13.8564064606,2,False,7
-65,-17.3205080757,0,False,7
-66.5,-18.1865334795,10,False,7
-65,-15.5884572681,2,False,7
-62,-24.248711306,0,False,3
-62,-24.248711306,10,True,11
-63.5,-23.3826859022,4,False,7
-62,-24.248711306,2,False,7
-62,-25.9807621135,0,False,7
-63.5,-30.3108891325,10,False,7
-65,-29.4448637287,8,False,7
-62,-29.4448637287,0,False,7
-71,-24.248711306,10,False,3
-71,-24.248711306,0,True,11
-71,-22.5166604984,2,False,7
-71,-24.248711306,0,False,7
-72.5,-25.1147367097,10,False,7
-77,-25.9807621135,8,False,7
-77,-24.248711306,6,False,7
-75.5,-26.8467875173,10,False,7
-57.5,-16.4544826719,2,False,3
-57.5,-16.4544826719,8,True,11
-59,-17.3205080757,6,False,7
-57.5,-16.4544826719,4,False,7
-56,-17.3205080757,2,False,7
-53,-20.7846096908,0,False,7
-54.5,-21.6506350946,10,False,7
-53,-19.0525588833,2,False,7
-38,-55.4256258422,6,False,3
-38,-55.4256258422,4,True,11
-36.5,-56.291651246,10,False,7
-38,-55.4256258422,8,False,7
-38,-53.6935750346,6,False,7
-36.5,-49.3634480157,4,False,7
-35,-50.2294734195,2,False,7
-41,-62.3538290725,10,False,3
-41,-62.3538290725,0,True,11
-41,-60.6217782649,2,False,7
-41,-62.3538290725,0,False,7
-42.5,-63.2198544763,10,False,7
-47,-64.08587988,8,False,7
-47,-62.3538290725,6,False,7
-45.5,-64.9519052838,10,False,7
-45.5,-54.5596004384,8,False,3
-45.5,-54.5596004384,2,True,11
-44,-53.6935750346,0,False,7
-45.5,-54.5596004384,10,False,7
-47,-53.6935750346,8,False,7
-50,-50.2294734195,6,False,7
-48.5,-49.3634480157,4,False,7
-50,-51.9615242271,8,False,7
-41,-46.7653718044,6,False,3
-41,-46.7653718044,4,True,11
-39.5,-47.6313972081,10,False,7
-41,-46.7653718044,8,False,7
-41,-45.0333209968,6,False,7
-39.5,-40.7031939779,4,False,7
-38,-41.5692193817,2,False,7
-41,-41.5692193817,6,False,7
-35,-34.6410161514,4,False,3
-35,-34.6410161514,6,True,11
-35,-36.3730669589,8,False,7
-35,-34.6410161514,6,False,7
-33.5,-33.7749907476,4,False,7
-29,-32.9089653438,2,False,7
-29,-34.6410161514,0,False,7
-30.5,-32.04293994,4,False,7
-30.5,-42.4352447854,2,False,3
-30.5,-42.4352447854,8,True,11
-32,-43.3012701892,6,False,7
-30.5,-42.4352447854,4,False,7
-29,-43.3012701892,2,False,7
-26,-46.7653718044,0,False,7
-27.5,-47.6313972081,10,False,7
-26,-45.0333209968,2,False,7
-50,-71.0140831103,10,False,3
-50,-71.0140831103,0,True,11
-50,-69.2820323028,2,False,7
-50,-71.0140831103,0,False,7
-51.5,-71.8801085141,10,False,7
-56,-72.7461339179,8,False,7
-56,-71.0140831103,6,False,7
-42.5,-70.1480577065,2,False,3
-42.5,-70.1480577065,8,True,11
-44,-71.0140831103,6,False,7
-42.5,-70.1480577065,4,False,7
-41,-71.0140831103,2,False,7
-38,-74.4781847255,0,False,7
-39.5,-75.3442101292,10,False,7
-38,-72.7461339179,2,False,7
-47,-77.9422863406,0,False,3
-47,-77.9422863406,10,True,11
-48.5,-77.0762609368,4,False,7
-47,-77.9422863406,2,False,7
-47,-79.6743371482,0,False,7
-48.5,-84.0044641671,10,False,7
-50,-83.1384387633,8,False,7
-47,-83.1384387633,0,False,7
-56,-77.9422863406,10,False,3
-56,-77.9422863406,0,True,11
-56,-76.210235533,2,False,7
-56,-77.9422863406,0,False,7
-57.5,-78.8083117444,10,False,7
-62,-79.6743371482,8,False,7
-62,-77.9422863406,6,False,7
-60.5,-80.540362552,10,False,7
-69.5,-78.8083117444,8,False,3
-69.5,-78.8083117444,2,True,11
-68,-77.9422863406,0,False,7
-69.5,-78.8083117444,10,False,7
-71,-77.9422863406,8,False,7
-74,-74.4781847255,6,False,7
-72.5,-73.6121593217,4,False,7
-74,-76.210235533,8,False,7
-65,-71.0140831103,6,False,3
-65,-71.0140831103,4,True,11
-63.5,-71.8801085141,10,False,7
-65,-71.0140831103,8,False,7
-65,-69.2820323028,6,False,7
-63.5,-64.9519052838,4,False,7
-62,-65.8179306876,2,False,7
-65,-65.8179306876,6,False,7
-65,-86.6025403784,10,False,3
-65,-86.6025403784,0,True,11
-65,-84.8704895709,2,False,7
-65,-86.6025403784,0,False,7
-66.5,-87.4685657822,10,False,7
-71,-88.334591186,8,False,7
-71,-86.6025403784,6,False,7
-69.5,-89.2006165898,10,False,7
-57.5,-51.0954988233,8,False,3
-57.5,-51.0954988233,2,True,11
-56,-50.2294734195,0,False,7
-57.5,-51.0954988233,10,False,7
-59,-50.2294734195,8,False,7
-62,-46.7653718044,6,False,7
-60.5,-45.8993464006,4,False,7
-53,-57.1576766498,0,False,3
-53,-57.1576766498,10,True,11
-54.5,-56.291651246,4,False,7
-53,-57.1576766498,2,False,7
-53,-58.8897274573,0,False,7
-54.5,-63.2198544763,10,False,7
-56,-62.3538290725,8,False,7
-53,-62.3538290725,0,False,7
-62,-57.1576766498,10,False,3
-62,-57.1576766498,0,True,11
-62,-55.4256258422,2,False,7
-62,-57.1576766498,0,False,7
-63.5,-58.0237020536,10,False,7
-68,-58.8897274573,8,False,7
-68,-57.1576766498,6,False,7
-66.5,-59.7557528611,10,False,7
-66.5,-49.3634480157,8,False,3
-66.5,-49.3634480157,2,True,11
-65,-48.4974226119,0,False,7
-66.5,-49.3634480157,10,False,7
-68,-48.4974226119,8,False,7
-71,-45.0333209968,6,False,7
-69.5,-44.167295593,4,False,7
-71,-46.7653718044,8,False,7
-74,-38.1051177665,6,False,3
-74,-38.1051177665,4,True,11
-72.5,-38.9711431703,10,False,7
-74,-38.1051177665,8,False,7
-74,-36.3730669589,6,False,7
-72.5,-32.04293994,4,False,7
-71,-32.9089653438,2,False,7
-74,-32.9089653438,6,False,7
-65,-38.1051177665,4,False,3
-65,-38.1051177665,6,True,11
-65,-39.8371685741,8,False,7
-65,-38.1051177665,6,False,7
-63.5,-37.2390923627,4,False,7
-59,-36.3730669589,2,False,7
-59,-38.1051177665,0,False,7
-60.5,-35.5070415552,4,False,7
-78.5,-45.8993464006,8,False,3
-78.5,-45.8993464006,2,True,11
-77,-45.0333209968,0,False,7
-78.5,-45.8993464006,10,False,7
-80,-45.0333209968,8,False,7
-83,-41.5692193817,6,False,7
-81.5,-40.7031939779,4,False,7
-83,-43.3012701892,8,False,7
-44,-34.6410161514,6,False,3
-44,-34.6410161514,4,True,11
-42.5,-35.5070415552,10,False,7
-44,-34.6410161514,8,False,7
-44,-32.9089653438,6,False,7
-42.5,-28.5788383249,4,False,7
-41,-29.4448637287,2,False,7
-47,-41.5692193817,10,False,3
-47,-41.5692193817,0,True,11
-47,-39.8371685741,2,False,7
-47,-41.5692193817,0,False,7
-48.5,-42.4352447854,10,False,7
-53,-43.3012701892,8,False,7
-53,-41.5692193817,6,False,7
-51.5,-44.167295593,10,False,7
-51.5,-33.7749907476,8,False,3
-51.5,-33.7749907476,2,True,11
-50,-32.9089653438,0,False,7
-51.5,-33.7749907476,10,False,7
-53,-32.9089653438,8,False,7
-56,-29.4448637287,6,False,7
-54.5,-28.5788383249,4,False,7
-56,-31.1769145362,8,False,7
-47,-25.9807621135,6,False,3
-47,-25.9807621135,4,True,11
-45.5,-26.8467875173,10,False,7
-47,-25.9807621135,8,False,7
-47,-24.248711306,6,False,7
-45.5,-19.918584287,4,False,7
-44,-20.7846096908,2,False,7
-47,-20.7846096908,6,False,7
-41,-13.8564064606,4,False,3
-41,-13.8564064606,6,True,11
-41,-15.5884572681,8,False,7
-41,-13.8564064606,6,False,7
-39.5,-12.9903810568,4,False,7
-35,-12.124355653,2,False,7
-35,-13.8564064606,0,False,7
-36.5,-11.2583302492,4,False,7
-36.5,-21.6506350946,2,False,3
-36.5,-21.6506350946,8,True,11
-38,-22.5166604984,6,False,7
-36.5,-21.6506350946,4,False,7
-35,-22.5166604984,2,False,7
-32,-25.9807621135,0,False,7
-33.5,-26.8467875173,10,False,7
-32,-24.248711306,2,False,7
-50,-13.8564064606,6,False,3
-50,-13.8564064606,4,True,11
-48.5,-14.7224318643,10,False,7
-50,-13.8564064606,8,False,7
-50,-12.124355653,6,False,7
-48.5,-7.79422863406,4,False,7
-47,-8.66025403784,2,False,7
-50,-8.66025403784,6,False,7
-32,-5.19615242271,4,False,3
-32,-5.19615242271,6,True,11
-32,-6.92820323028,8,False,7
-32,-5.19615242271,6,False,7
-30.5,-4.33012701892,4,False,7
-26,-3.46410161514,2,False,7
-26,-5.19615242271,0,False,7
-39.5,-6.06217782649,8,False,3
-39.5,-6.06217782649,2,True,11
-38,-5.19615242271,0,False,7
-39.5,-6.06217782649,10,False,7
-41,-5.19615242271,8,False,7
-44,-1.73205080757,6,False,7
-42.5,-0.866025403784,4,False,7
-44,-3.46410161514,8,False,7
-35,1.73205080757,6,False,3
-35,1.73205080757,4,True,11
-33.5,0.866025403784,10,False,7
-35,1.73205080757,8,False,7
-35,3.46410161514,6,False,7
-33.5,7.79422863406,4,False,7
-32,6.92820323028,2,False,7
-35,6.92820323028,6,False,7
-26,1.73205080757,4,False,3
-26,1.73205080757,6,True,11
-26,5.10702591328e-15,8,False,7
-26,1.73205080757,6,False,7
-24.5,2.59807621135,4,False,7
-20,3.46410161514,2,False,7
-20,1.73205080757,0,False,7
-21.5,4.33012701892,4,False,7
-12.5,2.59807621135,2,False,3
-12.5,2.59807621135,8,True,11
-14,1.73205080757,6,False,7
-12.5,2.59807621135,4,False,7
-11,1.73205080757,2,False,7
-8,-1.73205080757,0,False,7
-9.5,-2.59807621135,10,False,7
-8,9.32587340685e-15,2,False,7
-17,-5.19615242271,0,False,3
-17,-5.19615242271,10,True,11
-18.5,-4.33012701892,4,False,7
-17,-5.19615242271,2,False,7
-17,-6.92820323028,0,False,7
-18.5,-11.2583302492,10,False,7
-20,-10.3923048454,8,False,7
-17,-10.3923048454,0,False,7
-17,10.3923048454,4,False,3
-17,10.3923048454,6,True,11
-17,8.66025403784,8,False,7
-17,10.3923048454,6,False,7
-15.5,11.2583302492,4,False,7
-11,12.124355653,2,False,7
-11,10.3923048454,0,False,7
-12.5,12.9903810568,4,False,7
-24.5,-25.1147367097,2,False,3
-24.5,-25.1147367097,8,True,11
-26,-25.9807621135,6,False,7
-24.5,-25.1147367097,4,False,7
-23,-25.9807621135,2,False,7
-20,-29.4448637287,0,False,7
-21.5,-30.3108891325,10,False,7
-29,-19.0525588833,6,False,3
-29,-19.0525588833,4,True,11
-27.5,-19.918584287,10,False,7
-29,-19.0525588833,8,False,7
-29,-17.3205080757,6,False,7
-27.5,-12.9903810568,4,False,7
-26,-13.8564064606,2,False,7
-29,-13.8564064606,6,False,7
-20,-19.0525588833,4,False,3
-20,-19.0525588833,6,True,11
-20,-20.7846096908,8,False,7
-20,-19.0525588833,6,False,7
-18.5,-18.1865334795,4,False,7
-14,-17.3205080757,2,False,7
-14,-19.0525588833,0,False,7
-15.5,-16.4544826719,4,False,7
-15.5,-26.8467875173,2,False,3
-15.5,-26.8467875173,8,True,11
-17,-27.7128129211,6,False,7
-15.5,-26.8467875173,4,False,7
-14,-27.7128129211,2,False,7
-11,-31.1769145362,0,False,7
-12.5,-32.04293994,10,False,7
-11,-29.4448637287,2,False,7
-8,-38.1051177665,0,False,3
-8,-38.1051177665,10,True,11
-9.5,-37.2390923627,4,False,7
-8,-38.1051177665,2,False,7
-8,-39.8371685741,0,False,7
-9.5,-44.167295593,10,False,7
-11,-43.3012701892,8,False,7
